Rank,country,Capital,Continent,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
192,Kiribati,Tarawa,Oceania,37846,42008,47093,53444,57437,60675,60813,66708,75124,81481,88826
129,Kuwait,Kuwait City,Asia,153738,183458,305415,513840,802786,1095998,1493870,1888975,1674938,1655222,1934901
110,Kyrgyzstan,Bishkek,Asia,1751225,1944992,2216530,2615167,3016384,3353850,3691209,4064852,4394734,4596456,4935182
103,Laos,Vientiane,Asia,1684674,1893389,2122532,2379456,2675283,3012720,3297519,3741604,4314443,4927432,5430853
151,Latvia,Riga,Europe,1922525,2032505,2154251,2287805,2397414,2492528,2572037,2655104,2689391,2570151,2392530
119,Lebanon,Beirut,Asia,1349588,1556327,1798092,2087445,2381791,2691586,2963702,3226750,3593700,3959640,4320642
147,Lesotho,Maseru,Africa,579470,641361,737838,860220,1023481,1216180,1407672,1616697,1798997,1934079,1998630
121,Liberia,Monrovia,Africa,915894,1013790,1137026,1287315,1463563,1671632,1932169,2239724,2209731,2142422,2895224
107,Libya,Tripoli,Africa,1130677,1225687,1426986,1700072,1909177,2291841,2962720,3684313,4236983,4733063,5154790
216,Liechtenstein,Vaduz,Europe,13765,14945,16472,18500,21089,23030,25003,26785,28765,30890,33026
141,Lithuania,Vilnius,Europe,2564798,2699051,2875684,3052979,3210147,3368287,3521206,3672852,3785847,3747267,3599637
168,Luxembourg,Luxembourg,Europe,296584,305514,314168,329794,339342,353666,363741,366466,381267,407635,435628
50,Madagascar,Antananarivo,Africa,3953896,4467590,5073342,5780453,6639751,7720859,8948162,10297746,11882762,13869138,16216431
62,Malawi,Lilongwe,Africa,2949739,3240318,3621081,4089097,4625141,5280965,6267369,7625078,9539665,10112816,11229387
45,Malaysia,Kuala Lumpur,Asia,5972876,6786077,7833782,9091016,10306508,11617947,13215707,15108135,17517054,20136888,22945150
174,Maldives,Malé,Asia,74484,81823,91650,104566,123243,143126,164887,190383,224957,258208,282507
59,Mali,Bamako,Africa,4694916,5014680,5346792,5726382,6153587,6687293,7372581,8187651,8945026,9921094,11239101
173,Malta,Valletta,Europe,291873,323596,337628,326401,315414,319619,333587,349118,365392,381849,399212
